"site_key","latitude","longitude","site_id"
"32.61666700_-106.66666700",32.616667,-106.666667,"32.61666700_-106.66666700"
"32.61666700_-116.83333300",32.616667,-116.833333,"32.61666700_-116.83333300"
"32.71666700_35.01666700",32.716667,35.016667,"32.71666700_35.01666700"
"32.72000000_35.02000000",32.72,35.02,"32.72000000_35.02000000"
"33.06666700_-79.75000000",33.066667,-79.75,"33.06666700_-79.75000000"
"33.09000000_47.33000000",33.09,47.33,"33.09000000_47.33000000"
"33.10000000_47.31666700",33.1,47.316667,"33.10000000_47.31666700"
"33.14000000_-79.82000000",33.14,-79.82,"33.14000000_-79.82000000"
"33.33333300_-81.66666700",33.333333,-81.666667,"33.33333300_-81.66666700"
"33.35000000_-116.56666700",33.35,-116.566667,"33.35000000_-116.56666700"
"33.37555600_-116.62083300",33.375556,-116.620833,"33.37555600_-116.62083300"
"33.41666700_-117.06666700",33.416667,-117.066667,"33.41666700_-117.06666700"
"33.58333300_-84.33333300",33.583333,-84.333333,"33.58333300_-84.33333300"
"33.76666700_46.41666700",33.766667,46.416667,"33.76666700_46.41666700"
"33.78333300_46.43333300",33.783333,46.433333,"33.78333300_46.43333300"
"33.86666700_-100.00000000",33.866667,-100,"33.86666700_-100.00000000"
"34.00000000_-112.00000000",34,-112,"34.00000000_-112.00000000"
"34.00000000_-117.75000000",34,-117.75,"34.00000000_-117.75000000"
"34.08333300_-78.30000000",34.083333,-78.3,"34.08333300_-78.30000000"
"34.11000000_-78.26000000",34.11,-78.26,"34.11000000_-78.26000000"
"34.18027800_-110.64472200",34.180278,-110.644722,"34.18027800_-110.64472200"
"34.18333300_-110.65000000",34.183333,-110.65,"34.18333300_-110.65000000"
"34.21000000_-117.92000000",34.21,-117.92,"34.21000000_-117.92000000"
"34.23333300_-118.10000000",34.233333,-118.1,"34.23333300_-118.10000000"
"34.40000000_-81.21666700",34.4,-81.216667,"34.40000000_-81.21666700"
"34.60054400_-77.31186200",34.600544,-77.311862,"34.60054400_-77.31186200"
"34.74000000_-120.47000000",34.74,-120.47,"34.74000000_-120.47000000"
"34.86388900_46.51722200",34.863889,46.517222,"34.86388900_46.51722200"
"34.96666700_-111.55000000",34.966667,-111.55,"34.96666700_-111.55000000"
"35.10000000_-79.20000000",35.1,-79.2,"35.10000000_-79.20000000"
"35.11943200_-79.25000000",35.119432,-79.25,"35.11943200_-79.25000000"
"35.32000000_-120.25000000",35.32,-120.25,"35.32000000_-120.25000000"
"35.42000000_-111.92000000",35.42,-111.92,"35.42000000_-111.92000000"
"35.59000000_-83.54000000",35.59,-83.54,"35.59000000_-83.54000000"
"35.62000000_-96.05000000",35.62,-96.05,"35.62000000_-96.05000000"
"35.65000000_-120.98333300",35.65,-120.983333,"35.65000000_-120.98333300"
"35.86666700_-106.31666700",35.866667,-106.316667,"35.86666700_-106.31666700"
"35.88333300_-106.30000000",35.883333,-106.3,"35.88333300_-106.30000000"
"36.14000000_-115.43000000",36.14,-115.43,"36.14000000_-115.43000000"
"36.30000000_-105.39000000",36.3,-105.39,"36.30000000_-105.39000000"
"36.55000000_-118.70000000",36.55,-118.7,"36.55000000_-118.70000000"
"36.58333300_-118.76666700",36.583333,-118.766667,"36.58333300_-118.76666700"
"36.81666700_31.80000000",36.816667,31.8,"36.81666700_31.80000000"
