"parameter","rhat","ess_bulk","ess_tail"
"r_effect.size.id[182,Intercept]",1.00064343332124,38592.8265243833,11527.4830882369
"r_effect.size.id[183,Intercept]",1.00058901262416,41651.5830658173,10763.9854424614
"r_effect.size.id[184,Intercept]",1.0002670175354,43031.7928734516,10020.5588407592
"r_effect.size.id[185,Intercept]",1.00012372485223,38586.2531059487,10853.7447623428
"r_effect.size.id[186,Intercept]",1.00065362214459,39089.2604945248,10258.0646801278
"r_effect.size.id[187,Intercept]",1.0008375124224,39217.3804724958,10834.8898645111
"r_effect.size.id[188,Intercept]",1.00071315026113,41291.0802823335,12044.2119899884
"r_effect.size.id[189,Intercept]",1.00035927430868,40047.1371244864,10390.8486842984
"r_effect.size.id[190,Intercept]",1.00004258825211,47733.5969405409,11254.4467055891
"r_effect.size.id[191,Intercept]",1.00010761589149,39420.9632454333,11388.6269377936
"r_effect.size.id[192,Intercept]",1.00028173282779,42221.7879278687,11787.1148241574
"r_effect.size.id[193,Intercept]",1.00101148532493,37106.7680302919,11242.5469446875
"r_effect.size.id[194,Intercept]",1.00059876547065,39318.1885595421,10516.9984699101
"r_effect.size.id[195,Intercept]",1.00071074246232,43950.326021758,11059.1118271359
"r_effect.size.id[196,Intercept]",1.00016307750378,39028.5112073662,10491.2654179828
"r_effect.size.id[197,Intercept]",1.00026439058333,44370.5693891888,10956.3199038889
"r_effect.size.id[198,Intercept]",1.00062063184804,42816.7176899944,11137.1006128166
"r_effect.size.id[199,Intercept]",1.00030952427084,37220.1707107313,10954.4458090616
"r_effect.size.id[200,Intercept]",1.00028329864341,42822.8609066807,11319.2460231056
"r_effect.size.id[201,Intercept]",1.00033625201059,38409.4396012036,10991.7710674235
"r_effect.size.id[202,Intercept]",1.00011808940577,44713.6732721186,11367.1819174035
"r_effect.size.id[203,Intercept]",1.00061332000266,41068.3655813491,11504.9431474458
"r_effect.size.id[204,Intercept]",0.999994999870071,38658.9923482125,11085.8946834313
"r_effect.size.id[205,Intercept]",0.999895710371153,37932.4489506011,11248.0354427789
"r_effect.size.id[206,Intercept]",0.999973337748633,41937.5909667976,10494.8647198163
"r_effect.size.id[207,Intercept]",0.999910369716466,44411.4106333207,11039.0038294227
"r_effect.size.id[208,Intercept]",1.00032549581216,37286.2059904411,11204.3849938393
"r_effect.size.id[209,Intercept]",1.0004010295132,39991.7492957918,11927.34706146
"r_effect.size.id[210,Intercept]",1.0008025729194,41242.4879398701,11241.5807863368
"r_effect.size.id[211,Intercept]",0.999951083835817,42705.4927430684,11290.1273870102
"r_effect.size.id[212,Intercept]",1.00027501564634,41193.4223626192,11387.7478617185
"r_effect.size.id[213,Intercept]",0.999988772461923,42565.6061830636,11278.4505469402
"r_effect.size.id[214,Intercept]",1.00105077986242,37540.4801996969,10981.8495904746
"r_effect.size.id[215,Intercept]",1.00049131825659,40536.6252249198,11854.4389194179
"r_effect.size.id[216,Intercept]",1.00104693452621,38360.2692743131,10637.9056226378
"r_effect.size.id[217,Intercept]",1.00045337696191,39799.1563306092,9750.2751698878
"r_effect.size.id[218,Intercept]",1.00019491774552,39893.83556124,10535.8657980455
"r_effect.size.id[219,Intercept]",1.00072450655013,42081.8945339599,11884.8947518362
"r_effect.size.id[220,Intercept]",1.000423323744,42606.4816164019,11078.0138421501
"r_effect.size.id[221,Intercept]",1.00007882945874,41481.9974016665,11153.1155065826
"r_effect.size.id[222,Intercept]",1.00054408828248,41775.1996604586,10653.905188807
"r_effect.size.id[223,Intercept]",1.00075510943984,39449.0976825739,11555.1655112345
"r_effect.size.id[224,Intercept]",1.00070786315884,41119.6706155462,10706.5009156033
"r_effect.size.id[225,Intercept]",1.00042401577319,39587.2818881865,11569.0984032482
"r_effect.size.id[226,Intercept]",1.00028591945688,41029.4192981701,10952.9538751853
"r_effect.size.id[227,Intercept]",1.00028143936025,39262.7846245611,11801.0927850067
"r_effect.size.id[228,Intercept]",1.00022235764819,39541.256945408,11163.7379968168
"r_effect.size.id[229,Intercept]",0.999837080325331,29207.7144854825,12124.6801682334
"r_effect.size.id[230,Intercept]",1.00016970262058,43574.7074650226,10810.9226258691
"r_effect.size.id[231,Intercept]",1.00027778070162,40726.7886118032,11686.3530765426
"r_effect.size.id[232,Intercept]",0.999899188554507,39844.7063830877,10735.364102433
"r_effect.size.id[233,Intercept]",1.00035363543862,44077.6261446429,10194.4425423898
"r_effect.size.id[234,Intercept]",1.00056727554071,39839.9228120242,11509.9862007444
"r_effect.size.id[235,Intercept]",1.00036062374332,44559.5098686852,11585.1112749763
"r_effect.size.id[236,Intercept]",1.00033890988232,40980.062468342,12772.4901275141
"r_effect.size.id[237,Intercept]",0.999960240549629,37883.3228467038,12610.0874346139
"r_effect.size.id[238,Intercept]",1.00036117749679,34164.8898322703,11697.5598499017
"r_effect.size.id[239,Intercept]",1.00058632102557,36765.0917343309,12575.0719834205
"r_effect.size.id[240,Intercept]",1.00007697021671,34431.0438988659,12085.8944336077
"r_effect.size.id[241,Intercept]",1.00039098216011,37190.5132180064,11686.9484675748
"r_effect.size.id[242,Intercept]",1.00065249941491,33225.7239480925,11608.7058991014
"r_effect.size.id[243,Intercept]",1.0007407633033,40764.3154204995,11490.6688651699
"r_effect.size.id[244,Intercept]",1.00005455176926,36763.5574968728,10815.8304328925
"r_effect.size.id[245,Intercept]",0.999921919735425,37666.1063045838,12512.4044707958
"r_effect.size.id[246,Intercept]",1.00011672685861,36544.9703361697,13124.3185813495
"r_effect.size.id[247,Intercept]",1.00058223844405,32929.7910255285,12852.4282474581
"r_effect.size.id[248,Intercept]",1.00045529315323,32942.9243189516,12402.2478908023
"r_effect.size.id[249,Intercept]",1.00035332892773,30774.9349713279,13431.961378448
"r_effect.size.id[250,Intercept]",1.00119735762916,34725.2883505773,12199.3514379987
"r_effect.size.id[251,Intercept]",1.00076200969345,34076.907101964,13308.7668360521
"r_effect.size.id[252,Intercept]",1.0002806287449,27221.2563325415,12547.677444304
"r_effect.size.id[253,Intercept]",1.00090824736405,41256.6012904645,10399.7231675665
"r_effect.size.id[254,Intercept]",1.00017909312916,44180.3639750504,11854.8458069581
"r_effect.size.id[255,Intercept]",1.00035298926897,41655.2626754211,10813.2092480876
"r_effect.size.id[256,Intercept]",0.999995974774204,37869.4278844175,11728.6750823456
"r_effect.size.id[257,Intercept]",1.00071286549142,40316.4641678323,11972.5863720938
"r_effect.size.id[258,Intercept]",1.00010895896659,42101.2232799017,11490.4619103108
"r_effect.size.id[259,Intercept]",1.00063730192582,41647.9565353062,11852.4527053681
"r_effect.size.id[260,Intercept]",1.00076864987721,38950.5004421553,11433.7423741808
"r_effect.size.id[261,Intercept]",1.00056415314869,40296.852261438,11106.423348467
"r_effect.size.id[262,Intercept]",1.00071359558858,37676.483776667,11081.6054589795
"r_effect.size.id[263,Intercept]",1.00048657940079,37993.9220123326,10682.1643755591
"r_effect.size.id[264,Intercept]",1.00166412859926,37766.4136132065,11065.8954845742
"r_effect.size.id[265,Intercept]",1.00006482447157,39521.3714051257,10807.4756805518
"r_effect.size.id[266,Intercept]",1.0012905692062,44622.6901077214,11974.1260458982
"r_effect.size.id[267,Intercept]",0.999962941339972,39582.0708718846,11336.7702689342
"r_effect.size.id[268,Intercept]",1.00001564044091,32438.7628138441,11804.9427775696
"r_effect.size.id[269,Intercept]",1.00000567321079,35844.6839189808,10887.7042469844
"r_effect.size.id[270,Intercept]",1.0002674204661,35529.8172160795,12225.8126062087
"r_effect.size.id[271,Intercept]",1.00080959617995,36114.6731305705,12032.8001487545
"r_effect.size.id[272,Intercept]",1.00028851672671,39335.0424208811,11359.1238178574
"r_effect.size.id[273,Intercept]",1.00021919258551,37064.1345395615,11717.324101017
"r_effect.size.id[274,Intercept]",1.00017149016979,39172.0763297365,10742.5760048668
"r_effect.size.id[275,Intercept]",1.00185186514166,39688.0409133061,11081.0072592382
"r_effect.size.id[276,Intercept]",1.0002311754846,39042.1636307685,10944.1225971025
"r_effect.size.id[277,Intercept]",1.00013522411238,44969.2077620044,11267.283825566
"r_effect.size.id[278,Intercept]",1.0001655284498,41957.3228269245,10951.666480752
"r_effect.size.id[279,Intercept]",1.00045461824756,39779.5068433922,11381.0231905839
"r_effect.size.id[280,Intercept]",1.00027208496004,38965.5147378454,11665.9926613231
"r_effect.size.id[281,Intercept]",1.00005915053189,36122.6061873306,12560.1325030469
"r_effect.size.id[282,Intercept]",1.00039022836071,40151.1952420491,11566.094972592
"r_effect.size.id[283,Intercept]",1.00062248033617,37882.4195568109,11650.523850564
"r_effect.size.id[284,Intercept]",1.00003406327426,42598.9106788481,11885.5777631981
"r_effect.size.id[285,Intercept]",1.00061918099352,43437.2600316108,10503.8542086482
"r_effect.size.id[286,Intercept]",1.00037210417843,39033.676439905,10970.8736051593
"r_effect.size.id[287,Intercept]",1.00012872907483,35909.528072428,10704.7875011415
"r_effect.size.id[288,Intercept]",1.00040768032483,39918.0315331724,12357.81216835
"r_effect.size.id[289,Intercept]",1.0002666879471,41935.9176288384,11373.9074618723
"r_effect.size.id[290,Intercept]",0.99994777171224,35049.6847418091,11760.7946085801
"r_effect.size.id[291,Intercept]",1.00067085997026,41363.3494733681,10656.0340038605
"r_effect.size.id[292,Intercept]",1.00037524477559,36157.3820297616,12410.9971855745
"r_effect.size.id[293,Intercept]",1.00134563327149,37608.8544666798,12481.3387921608
"r_effect.size.id[294,Intercept]",1.00010836749259,19450.5448369317,12340.8123803899
"r_effect.size.id[295,Intercept]",1.00009473106484,19385.8076020121,12450.1631827986
"r_effect.size.id[296,Intercept]",0.999927327766023,22764.6583087238,14790.1911072667
"r_effect.size.id[297,Intercept]",0.999863235610181,23650.706792245,14387.9319577018
"r_effect.size.id[298,Intercept]",1.00000279792751,24567.5658391437,12119.8488659382
"r_effect.size.id[299,Intercept]",1.00005227120013,25649.3037084134,13081.94283204
"r_effect.size.id[300,Intercept]",1.0003565591497,37823.3508042706,11206.5696992065
"r_effect.size.id[301,Intercept]",1.0001380036377,40567.4300251348,10938.5993842533
"r_effect.size.id[302,Intercept]",1.00035299226727,35810.8658622257,11186.2190024092
