"value","parameter","panel"
0.120467,"Pooled mean (Hedges' d)","Fixed effect"
0.130893,"Pooled mean (Hedges' d)","Fixed effect"
0.269392,"Pooled mean (Hedges' d)","Fixed effect"
-0.0828838,"Pooled mean (Hedges' d)","Fixed effect"
0.182672,"Pooled mean (Hedges' d)","Fixed effect"
-0.0568386,"Pooled mean (Hedges' d)","Fixed effect"
-0.0959403,"Pooled mean (Hedges' d)","Fixed effect"
-0.111064,"Pooled mean (Hedges' d)","Fixed effect"
-0.283301,"Pooled mean (Hedges' d)","Fixed effect"
-0.260327,"Pooled mean (Hedges' d)","Fixed effect"
-0.241354,"Pooled mean (Hedges' d)","Fixed effect"
-0.144731,"Pooled mean (Hedges' d)","Fixed effect"
-0.078905,"Pooled mean (Hedges' d)","Fixed effect"
-0.143162,"Pooled mean (Hedges' d)","Fixed effect"
-0.0139781,"Pooled mean (Hedges' d)","Fixed effect"
0.000889522,"Pooled mean (Hedges' d)","Fixed effect"
-0.177987,"Pooled mean (Hedges' d)","Fixed effect"
-0.140102,"Pooled mean (Hedges' d)","Fixed effect"
-0.113294,"Pooled mean (Hedges' d)","Fixed effect"
-0.0339465,"Pooled mean (Hedges' d)","Fixed effect"
-0.0281891,"Pooled mean (Hedges' d)","Fixed effect"
0.0255247,"Pooled mean (Hedges' d)","Fixed effect"
0.092256,"Pooled mean (Hedges' d)","Fixed effect"
-0.0149911,"Pooled mean (Hedges' d)","Fixed effect"
-0.334102,"Pooled mean (Hedges' d)","Fixed effect"
-0.389275,"Pooled mean (Hedges' d)","Fixed effect"
-0.0188958,"Pooled mean (Hedges' d)","Fixed effect"
-0.329702,"Pooled mean (Hedges' d)","Fixed effect"
-0.2824,"Pooled mean (Hedges' d)","Fixed effect"
-0.508266,"Pooled mean (Hedges' d)","Fixed effect"
-0.485973,"Pooled mean (Hedges' d)","Fixed effect"
-0.319715,"Pooled mean (Hedges' d)","Fixed effect"
-0.361922,"Pooled mean (Hedges' d)","Fixed effect"
-0.107077,"Pooled mean (Hedges' d)","Fixed effect"
-0.127831,"Pooled mean (Hedges' d)","Fixed effect"
0.0379959,"Pooled mean (Hedges' d)","Fixed effect"
-0.354623,"Pooled mean (Hedges' d)","Fixed effect"
-0.127938,"Pooled mean (Hedges' d)","Fixed effect"
-0.189326,"Pooled mean (Hedges' d)","Fixed effect"
-0.143588,"Pooled mean (Hedges' d)","Fixed effect"
0.032737,"Pooled mean (Hedges' d)","Fixed effect"
0.164491,"Pooled mean (Hedges' d)","Fixed effect"
0.146021,"Pooled mean (Hedges' d)","Fixed effect"
0.0394951,"Pooled mean (Hedges' d)","Fixed effect"
0.193878,"Pooled mean (Hedges' d)","Fixed effect"
0.215619,"Pooled mean (Hedges' d)","Fixed effect"
-0.0782789,"Pooled mean (Hedges' d)","Fixed effect"
0.387144,"Pooled mean (Hedges' d)","Fixed effect"
0.185438,"Pooled mean (Hedges' d)","Fixed effect"
0.473628,"Pooled mean (Hedges' d)","Fixed effect"
0.888903,"Pooled mean (Hedges' d)","Fixed effect"
-0.171817,"Pooled mean (Hedges' d)","Fixed effect"
-0.294143,"Pooled mean (Hedges' d)","Fixed effect"
-0.148024,"Pooled mean (Hedges' d)","Fixed effect"
0.0212852,"Pooled mean (Hedges' d)","Fixed effect"
-0.127881,"Pooled mean (Hedges' d)","Fixed effect"
-0.304082,"Pooled mean (Hedges' d)","Fixed effect"
-0.401021,"Pooled mean (Hedges' d)","Fixed effect"
-0.383766,"Pooled mean (Hedges' d)","Fixed effect"
-0.487471,"Pooled mean (Hedges' d)","Fixed effect"
-0.347967,"Pooled mean (Hedges' d)","Fixed effect"
-0.174621,"Pooled mean (Hedges' d)","Fixed effect"
-0.0973733,"Pooled mean (Hedges' d)","Fixed effect"
0.0389116,"Pooled mean (Hedges' d)","Fixed effect"
-0.053433,"Pooled mean (Hedges' d)","Fixed effect"
0.17571,"Pooled mean (Hedges' d)","Fixed effect"
0.305968,"Pooled mean (Hedges' d)","Fixed effect"
0.449161,"Pooled mean (Hedges' d)","Fixed effect"
0.419763,"Pooled mean (Hedges' d)","Fixed effect"
0.436013,"Pooled mean (Hedges' d)","Fixed effect"
0.356345,"Pooled mean (Hedges' d)","Fixed effect"
0.242069,"Pooled mean (Hedges' d)","Fixed effect"
0.0906049,"Pooled mean (Hedges' d)","Fixed effect"
-0.083169,"Pooled mean (Hedges' d)","Fixed effect"
-0.251668,"Pooled mean (Hedges' d)","Fixed effect"
-0.301703,"Pooled mean (Hedges' d)","Fixed effect"
-0.306616,"Pooled mean (Hedges' d)","Fixed effect"
-0.228432,"Pooled mean (Hedges' d)","Fixed effect"
-0.45027,"Pooled mean (Hedges' d)","Fixed effect"
-0.268102,"Pooled mean (Hedges' d)","Fixed effect"
-0.0654137,"Pooled mean (Hedges' d)","Fixed effect"
-0.243633,"Pooled mean (Hedges' d)","Fixed effect"
0.092366,"Pooled mean (Hedges' d)","Fixed effect"
0.0097068,"Pooled mean (Hedges' d)","Fixed effect"
-0.506324,"Pooled mean (Hedges' d)","Fixed effect"
-0.569775,"Pooled mean (Hedges' d)","Fixed effect"
-0.400216,"Pooled mean (Hedges' d)","Fixed effect"
-0.363012,"Pooled mean (Hedges' d)","Fixed effect"
-0.124559,"Pooled mean (Hedges' d)","Fixed effect"
-0.0263487,"Pooled mean (Hedges' d)","Fixed effect"
-0.251969,"Pooled mean (Hedges' d)","Fixed effect"
-0.0847334,"Pooled mean (Hedges' d)","Fixed effect"
-0.0391348,"Pooled mean (Hedges' d)","Fixed effect"
-0.151318,"Pooled mean (Hedges' d)","Fixed effect"
-0.33354,"Pooled mean (Hedges' d)","Fixed effect"
0.0633696,"Pooled mean (Hedges' d)","Fixed effect"
0.29542,"Pooled mean (Hedges' d)","Fixed effect"
-0.00396273,"Pooled mean (Hedges' d)","Fixed effect"
-0.15502,"Pooled mean (Hedges' d)","Fixed effect"
-0.0962937,"Pooled mean (Hedges' d)","Fixed effect"
-0.101163,"Pooled mean (Hedges' d)","Fixed effect"
0.0384711,"Pooled mean (Hedges' d)","Fixed effect"
0.0001534,"Pooled mean (Hedges' d)","Fixed effect"
-0.100869,"Pooled mean (Hedges' d)","Fixed effect"
-0.0720017,"Pooled mean (Hedges' d)","Fixed effect"
0.0389268,"Pooled mean (Hedges' d)","Fixed effect"
0.0141896,"Pooled mean (Hedges' d)","Fixed effect"
-0.0873932,"Pooled mean (Hedges' d)","Fixed effect"
-0.0626914,"Pooled mean (Hedges' d)","Fixed effect"
-0.272338,"Pooled mean (Hedges' d)","Fixed effect"
-0.303297,"Pooled mean (Hedges' d)","Fixed effect"
-0.184164,"Pooled mean (Hedges' d)","Fixed effect"
-0.183636,"Pooled mean (Hedges' d)","Fixed effect"
-0.217665,"Pooled mean (Hedges' d)","Fixed effect"
-0.254435,"Pooled mean (Hedges' d)","Fixed effect"
-0.205724,"Pooled mean (Hedges' d)","Fixed effect"
0.0151227,"Pooled mean (Hedges' d)","Fixed effect"
-0.269472,"Pooled mean (Hedges' d)","Fixed effect"
-0.313604,"Pooled mean (Hedges' d)","Fixed effect"
0.0135605,"Pooled mean (Hedges' d)","Fixed effect"
-0.0451063,"Pooled mean (Hedges' d)","Fixed effect"
0.0689454,"Pooled mean (Hedges' d)","Fixed effect"
0.125856,"Pooled mean (Hedges' d)","Fixed effect"
-0.201342,"Pooled mean (Hedges' d)","Fixed effect"
-0.213159,"Pooled mean (Hedges' d)","Fixed effect"
-1.0728,"Pooled mean (Hedges' d)","Fixed effect"
-0.395375,"Pooled mean (Hedges' d)","Fixed effect"
-0.0803676,"Pooled mean (Hedges' d)","Fixed effect"
-0.1581,"Pooled mean (Hedges' d)","Fixed effect"
-0.0359802,"Pooled mean (Hedges' d)","Fixed effect"
-0.071932,"Pooled mean (Hedges' d)","Fixed effect"
0.0422652,"Pooled mean (Hedges' d)","Fixed effect"
-0.291506,"Pooled mean (Hedges' d)","Fixed effect"
-0.116417,"Pooled mean (Hedges' d)","Fixed effect"
-0.15033,"Pooled mean (Hedges' d)","Fixed effect"
-0.0200624,"Pooled mean (Hedges' d)","Fixed effect"
-0.163294,"Pooled mean (Hedges' d)","Fixed effect"
-0.157498,"Pooled mean (Hedges' d)","Fixed effect"
-0.157459,"Pooled mean (Hedges' d)","Fixed effect"
-0.198228,"Pooled mean (Hedges' d)","Fixed effect"
-0.125772,"Pooled mean (Hedges' d)","Fixed effect"
0.471662,"Pooled mean (Hedges' d)","Fixed effect"
-0.151573,"Pooled mean (Hedges' d)","Fixed effect"
-0.222512,"Pooled mean (Hedges' d)","Fixed effect"
-0.303531,"Pooled mean (Hedges' d)","Fixed effect"
-0.666617,"Pooled mean (Hedges' d)","Fixed effect"
-0.648737,"Pooled mean (Hedges' d)","Fixed effect"
-0.607448,"Pooled mean (Hedges' d)","Fixed effect"
-0.48802,"Pooled mean (Hedges' d)","Fixed effect"
-0.540464,"Pooled mean (Hedges' d)","Fixed effect"
-0.224275,"Pooled mean (Hedges' d)","Fixed effect"
-0.168802,"Pooled mean (Hedges' d)","Fixed effect"
-0.136137,"Pooled mean (Hedges' d)","Fixed effect"
-0.163811,"Pooled mean (Hedges' d)","Fixed effect"
-0.0468302,"Pooled mean (Hedges' d)","Fixed effect"
-0.0607422,"Pooled mean (Hedges' d)","Fixed effect"
-0.120224,"Pooled mean (Hedges' d)","Fixed effect"
-0.0620189,"Pooled mean (Hedges' d)","Fixed effect"
0.165841,"Pooled mean (Hedges' d)","Fixed effect"
0.00552541,"Pooled mean (Hedges' d)","Fixed effect"
-0.0633748,"Pooled mean (Hedges' d)","Fixed effect"
-0.343385,"Pooled mean (Hedges' d)","Fixed effect"
-0.378363,"Pooled mean (Hedges' d)","Fixed effect"
-0.196543,"Pooled mean (Hedges' d)","Fixed effect"
-0.148859,"Pooled mean (Hedges' d)","Fixed effect"
0.145489,"Pooled mean (Hedges' d)","Fixed effect"
0.335098,"Pooled mean (Hedges' d)","Fixed effect"
0.359502,"Pooled mean (Hedges' d)","Fixed effect"
0.0903511,"Pooled mean (Hedges' d)","Fixed effect"
0.136854,"Pooled mean (Hedges' d)","Fixed effect"
0.135881,"Pooled mean (Hedges' d)","Fixed effect"
0.112452,"Pooled mean (Hedges' d)","Fixed effect"
0.621964,"Pooled mean (Hedges' d)","Fixed effect"
0.675596,"Pooled mean (Hedges' d)","Fixed effect"
0.537783,"Pooled mean (Hedges' d)","Fixed effect"
0.327536,"Pooled mean (Hedges' d)","Fixed effect"
0.362024,"Pooled mean (Hedges' d)","Fixed effect"
0.338921,"Pooled mean (Hedges' d)","Fixed effect"
0.0289195,"Pooled mean (Hedges' d)","Fixed effect"
0.10881,"Pooled mean (Hedges' d)","Fixed effect"
