"","37.06000000_-6.66000000","38.37000000_-1.61000000","38.42972200_-1.75916700","38.48000000_-1.83000000","38.67000000_-0.57000000","39.20000000_-0.91666700","39.75000000_-0.71666700","40.18000000_0.10000000","40.19314100_-5.00000000","40.38305600_-5.11555600","41.28333300_1.90000000","41.29346100_1.87723500","41.68000000_2.22000000","41.70000000_1.91666700","41.75000000_1.98333300","41.77000000_2.86000000","41.97000000_1.41000000","42.00000000_1.56666700","42.13000000_-7.44000000","42.15000000_-6.25000000","42.15000000_1.63000000","42.19000000_-4.23000000","42.22500000_-6.56222200","42.23000000_-6.77000000","42.25000000_-6.20000000","42.26000000_-8.86000000","42.31666700_-6.21666700","42.42000000_-1.25000000","42.73333300_-7.90000000","42.95000000_-9.10000000","43.50000000_-8.63333300","44.55555600_-0.11111100"
"42.15000000_1.63000000",907.775488480315,501.661196533964,503.20233133475,502.068370443556,428.800272003901,391.641508683694,331.466469541856,253.457297760112,596.603069007809,597.648869878196,98.7751248024319,97.2630431608117,71.5147112578776,55.3145753328558,53.1849691548747,110.289715106646,27.0275281724296,17.4560202029019,749.071516151612,650.760335809721,0,483.885877897779,676.191204785982,693.306409712217,646.236383926388,865.441550709206,647.45045852075,239.304977890842,786.070010985591,884.925576818781,851.924233618217,302.336488842335
"42.19000000_-4.23000000",606.202107590065,478.707382979334,466.981643779935,459.272269410191,498.729545877779,433.928913668476,400.693685892098,425.950218729194,230.788432800046,213.772350369723,519.324033029321,517.213411903465,537.454654924151,512.159606449746,516.902333679382,588.9181395635,466.983453394065,479.648565680479,265.210785404894,166.879361699573,483.885877897779,0,192.532624424077,209.680574380246,162.703643872551,382.088198973396,164.461498954306,246.912149943607,307.691931611633,408.497800139904,388.162205392759,424.93331354439
"42.22500000_-6.56222200",573.233598761376,599.763665707472,586.056621177446,577.767164032828,642.831012293448,582.758834757122,562.832505068051,602.487792664854,260.707054532564,237.549116469745,710.729366577716,708.642568413732,729.898037649374,704.590761563085,709.387755728798,781.448501508032,659.504409815241,672.147023750726,73.246938713277,27.0896710588282,676.191204785982,192.532624424077,0,17.1535156819372,30.0123221618023,189.589274675233,30.2571609551657,438.164441113165,123.601348550348,223.263568994433,220.672164442526,583.316533527937
"42.23000000_-6.77000000",573.804898520994,612.630410904431,598.829366942458,590.526173407696,657.128986594575,597.46857554771,578.378824713119,618.822333013577,270.327958026154,247.317003868348,727.846526453978,725.760862415302,747.051551567047,721.744267222528,726.540777028781,798.597815044576,676.647183322343,689.285435535803,56.4270102266095,43.8406763757687,693.306409712217,209.680574380246,17.1535156819372,0,47.0761633375459,172.435758998027,46.6291651200324,455.212532113301,108.398050203462,207.231844435785,207.557134058056,598.180299758831
"42.25000000_-6.20000000",577.295134954309,580.63312086548,567.138774210429,558.888205146694,620.60106885311,559.66332040134,537.825071671698,575.513444970792,249.399590502051,226.165885582851,681.305283161008,679.212331042966,700.140736802022,674.840089551762,679.602745796271,751.610793940875,629.626096107314,642.250016963508,103.237854150226,11.8444106293479,646.236383926388,162.703643872551,30.0123221618023,47.0761633375459,0,219.388896858144,7.52827156829344,408.155811439529,149.659743423563,250.293693204653,242.476618382989,555.817162653084
"42.26000000_-8.86000000",607.06391543146,751.544582015854,737.171813924022,728.872477593637,807.063334094783,751.117814415694,738.620219377048,784.96768252716,396.391110509367,376.119414441586,899.993507304913,897.917023151013,919.487297990929,894.179943127979,898.972640045275,970.999655252473,848.999181771677,861.602898716004,118.111353617806,215.772657611392,865.441550709206,382.088198973396,189.589274675233,172.435758998027,219.388896858144,0,217.991436167228,626.908439443164,94.7935523546677,79.1168021306826,138.981424665053,753.027950968496
"42.31666700_-6.21666700",584.58408807877,586.950863176208,573.496383809102,565.254007198268,626.255371455727,565.101255003305,542.671178224769,579.534947630759,256.721348397399,233.493052322466,683.535637005024,681.43524309975,701.866850121153,676.580997702482,681.275988172574,753.164295324339,631.088647665708,643.659706014606,103.052594881927,18.7070732705781,647.45045852075,164.461498954306,30.2571609551657,46.6291651200324,7.52827156829344,217.991436167228,0,409.044360660639,145.801267562867,246.668360470332,237.09722874955,553.42410107219
"42.42000000_-1.25000000",753.718168767676,450.424212631871,444.858961361788,439.934375962733,420.056387569343,358.397162928728,299.641471700933,273.036075721387,399.347024383866,394.173754575867,290.24103486815,288.033741216951,298.596732593423,273.86587523131,277.508873587382,347.359305253773,225.197141534918,237.09498997586,511.298493243342,413.239285239173,239.304977890842,246.912149943607,438.164441113165,455.212532113301,408.155811439529,626.908439443164,409.044360660639,0,546.770247240517,645.681674798099,614.053057627153,254.637088191928
"42.73333300_-7.90000000",638.456580450922,719.256521334538,705.316103017699,696.997381046142,765.353120579673,705.854918649874,686.432289629938,725.172986508129,371.552486789285,349.127224920132,826.691113682757,824.56653400788,842.968934972255,817.786132223277,822.164524297668,893.37024357089,771.050167215662,783.327818653568,76.9404837020273,150.36590431563,786.070010985591,307.691931611633,123.601348550348,108.398050203462,149.659743423563,94.7935523546677,145.801267562867,546.770247240517,0,100.996908770697,104.011908012286,660.357218419476
"42.95000000_-9.10000000",685.966294931419,811.199109453094,797.036361341096,788.710438946205,861.215402106527,802.858370020541,785.40500546588,825.650644449412,458.589698868852,437.107051723281,927.170175638178,925.038521780871,942.727754961673,917.597605074772,921.85683907478,992.756473743613,870.435286425319,882.591128773844,163.932040932437,250.289543118782,884.925576818781,408.497800139904,223.263568994433,207.231844435785,250.293693204653,79.1168021306826,246.668360470332,645.681674798099,100.996908770697,0,71.9230156146664,745.742403706049
"43.50000000_-8.63333300",734.156052027443,820.173688872756,806.384231859936,798.081836877505,862.94658292569,802.13831548065,779.23682497011,812.716379716345,474.989882055242,452.399493105562,900.611042224391,898.441851996819,912.606990738545,887.768769066508,891.541490903555,961.107379194203,839.17735982689,850.876296858879,180.772056689098,245.869860158864,851.924233618217,388.162205392759,220.672164442526,207.557134058056,242.476618382989,138.981424665053,237.09722874955,614.053057627153,104.011908012286,71.9230156146664,0,693.587693735946
"44.55555600_-0.11111100",998.113668065708,698.045884647977,693.870386948428,689.593702676172,654.590606614835,598.408434637726,535.992421862144,486.26506445243,629.690499233657,619.514872028333,398.878593699254,397.086685343129,371.583620995704,357.629513923456,355.253293167885,392.653212854477,312.753591800788,314.971878281347,652.450833058387,564.918784014926,302.336488842335,424.93331354439,583.316533527937,598.180299758831,555.817162653084,753.027950968496,553.42410107219,254.637088191928,660.357218419476,745.742403706049,693.587693735946,0
