"","37.06000000_-6.66000000","38.37000000_-1.61000000","38.42972200_-1.75916700","38.48000000_-1.83000000","38.67000000_-0.57000000","39.20000000_-0.91666700","39.75000000_-0.71666700","40.18000000_0.10000000","40.19314100_-5.00000000","40.38305600_-5.11555600","41.28333300_1.90000000","41.29346100_1.87723500","41.68000000_2.22000000","41.70000000_1.91666700","41.75000000_1.98333300","41.77000000_2.86000000","41.97000000_1.41000000","42.00000000_1.56666700","42.13000000_-7.44000000","42.15000000_-6.25000000","42.15000000_1.63000000","42.19000000_-4.23000000","42.22500000_-6.56222200","42.23000000_-6.77000000","42.25000000_-6.20000000","42.26000000_-8.86000000","42.31666700_-6.21666700","42.42000000_-1.25000000","42.73333300_-7.90000000","42.95000000_-9.10000000","43.50000000_-8.63333300","44.55555600_-0.11111100"
"42.15000000_1.63000000",908.241072175469,502.042253773262,503.588446875623,502.456731560256,429.1409494161,391.9683777344,331.747055494244,253.668922217759,597.097102043216,598.136246306175,98.8461519650783,97.3328234570256,71.5609620120917,55.350128180192,53.2186013110688,110.358944332639,27.0433045469385,17.4660871766623,749.457408813356,651.097105975816,0,484.13626248861,676.526557381155,693.648414259933,646.553989598427,865.848199669866,647.756858318571,239.416328825161,786.334609406453,885.149448350113,851.967773248643,302.22467825314
"42.19000000_-4.23000000",606.506113880356,479.0697540194,467.338666892884,459.626201319434,499.124329337922,434.2892085924,401.030497315177,426.302224987066,230.979627371731,213.946916498999,519.68783740108,517.574895157741,537.790312967673,512.477942593273,517.217960876148,589.272913099362,467.246335240626,479.91482366542,265.351707340764,166.967567573326,484.13626248861,0,192.6305707642,209.786890329868,162.785440646338,382.276739733529,164.541240728107,247.024333618612,307.802316972804,408.613499322511,388.19435618301,424.765969043914
"42.22500000_-6.56222200",573.520481340594,600.2167477373,586.503638019113,578.211276024545,643.338149343339,583.239914178862,563.30159520358,602.979921725415,260.921532552132,237.741662006939,711.215028354762,709.125633776122,730.339329341592,705.01493503273,709.806775992639,781.902403107875,659.862392451568,672.50631122432,73.2854551093255,27.1037849388297,676.526557381155,192.6305707642,0,17.1620972207055,30.0271768996118,189.682237219627,30.2715942871617,438.355947753333,123.645065916188,223.326217735595,220.68962514512,583.069753535299
"42.23000000_-6.77000000",574.092067185354,613.09305186947,599.28595138623,590.979906346407,657.647130312494,597.961390158325,578.860306965567,619.327020420487,270.550107407455,247.517230534173,728.342331770867,726.254045833716,747.501389746421,722.177030242484,726.96814909663,799.059594807719,677.012782136753,689.652132098725,56.4566157192957,43.8634579881875,693.648414259933,209.786890329868,17.1620972207055,0,47.0993981769904,172.520141432374,46.6513424087503,455.410447246533,108.436257162963,207.289777921758,207.573302282372,597.925017719125
"42.25000000_-6.20000000",577.584056024853,581.070667019593,567.570276012013,559.316712008184,621.089327377249,560.123880136202,538.271679037774,575.981623109212,249.603808545816,226.348282628204,681.768210354299,679.672707147059,700.561208841992,675.243574190446,680.001363012703,752.044393221081,629.965085635898,642.590503715642,103.291442326092,11.8505049494914,646.553989598427,162.785440646338,30.0271768996118,47.0993981769904,0,219.494857515303,7.53181243182237,408.331985279825,149.711517502216,250.361805793878,242.49359060331,555.578214154632
"42.26000000_-8.86000000",607.368220042667,752.111161240668,737.732741066513,729.43122921159,807.697524953509,751.733531311391,739.229349635917,785.599625821561,396.71420366675,376.42123498014,900.589746187869,898.510375305217,920.021101038889,894.697114351522,899.48198410259,971.538548056409,849.439246784908,862.041947111922,118.172332695194,215.88256707297,865.848199669866,382.276739733529,189.682237219627,172.520141432374,219.494857515303,0,218.0927817277,627.16871745615,94.8261494983729,79.138395412981,138.991114749786,752.681973076372
"42.31666700_-6.21666700",584.876431418141,587.390279039222,573.929787647883,565.684408294533,626.744307489253,565.561884659485,543.116551718257,579.999884179326,256.928745328971,233.678645957858,683.989654690008,681.886711074754,702.276657817313,676.974224283064,681.664085016448,753.585930706296,631.417333725644,643.989548305717,103.104272822622,18.7163679763719,647.756858318571,164.541240728107,30.2715942871617,46.6513424087503,7.53181243182237,218.0927817277,0,409.213203577401,145.848835239999,246.73043750579,237.108520541415,553.171530978044
"42.42000000_-1.25000000",754.097445824622,450.757382339517,445.191100326618,440.265285247823,420.380215766728,358.685356377278,299.883792769766,273.251977187297,399.661608058662,394.47854747386,290.431619145801,288.222371125911,298.769231440982,274.023076275945,277.665039653807,347.552426725249,225.312441784969,237.214535124942,511.533110651418,413.428861947264,239.416328825161,247.024333618612,438.355947753333,455.410447246533,408.331985279825,627.16871745615,409.213203577401,0,546.921056390178,645.806385823084,614.044146709698,254.516286739668
"42.73333300_-7.90000000",638.767870923183,719.765123405471,705.818927447434,697.497473846765,765.913021506557,706.387001960586,686.944540521162,725.692605690796,371.822775863258,349.375226834882,827.144581714253,825.017270137141,843.354713281184,818.158323298613,822.528080916207,893.754278383279,771.350223846831,783.625237545879,76.9698291045017,150.422250642584,786.334609406453,307.802316972804,123.645065916188,108.436257162963,149.711517502216,94.8261494983729,145.848835239999,546.921056390178,0,101.008670321121,104.001511368853,659.929340183784
"42.95000000_-9.10000000",686.291681310479,811.748634130445,797.580350749638,789.251887296091,861.816039616806,803.43081324793,785.953294135844,826.197150638672,458.900223895545,437.394589135536,927.612036299876,925.47750957478,943.085645836974,917.943826460478,922.192009071356,993.103484676224,870.703722875567,882.85436646095,163.982927401815,250.365170960838,885.149448350113,408.613499322511,223.326217735595,207.289777921758,250.361805793878,79.138395412981,246.73043750579,645.806385823084,101.008670321121,0,71.9096977286936,745.174526911043
"43.50000000_-8.63333300",734.462615565753,820.650915072672,806.856323072874,798.551194940179,863.458147628295,802.614966207837,779.676389933829,813.135312320669,475.243041769254,452.629483027715,900.879718353629,898.70784609345,912.78058154243,887.935322321021,891.695232488293,961.258334215265,839.271061564673,850.961870480645,180.792203467577,245.895151933073,851.967773248643,388.19435618301,220.68962514512,207.573302282372,242.49359060331,138.991114749786,237.108520541415,614.044146709698,104.001511368853,71.9096977286936,0,692.873537361956
"44.55555600_-0.11111100",998.330927239641,698.269145423426,694.092526163656,689.814482002005,654.799295010551,598.58431213005,536.120107496007,486.349337215154,629.791934182994,619.592373334963,398.845701168726,397.052802577469,371.507310144487,357.553984378825,355.172291116086,392.560016286523,312.658781357988,314.872896677175,652.19363944141,564.697529972718,302.22467825314,424.765969043914,583.069753535299,597.925017719125,555.578214154632,752.681973076372,553.171530978044,254.516286739668,659.929340183784,745.174526911043,692.873537361956,0
