"parameter","rhat","ess_bulk","ess_tail"
"r_phy[Rana_arvalis,Intercept]",1.00004928789903,10001.2625679068,10385.0293389026
"r_phy[Epidalea_calamita,Intercept]",1.0001880040505,10614.5080587703,10893.0837814164
"r_phy[Hyla_labialis,Intercept]",1.00038312326595,10216.4796892916,10394.4422071201
"r_phy[Cavia_aperea,Intercept]",1.00016446447274,5658.1553082681,6846.36467080655
"r_phy[Marmota_marmota,Intercept]",1.00023643922297,5774.80856622073,6520.20236076105
"r_phy[Urocitellus_columbianus,Intercept]",1.00040077572591,5755.57717621347,7429.28218486358
"r_phy[Urocitellus_richardsonii,Intercept]",1.0005306385703,5589.44577288214,6810.76960452549
"r_phy[Onychomys_leucogaster,Intercept]",1.00014582144662,5944.30585404907,7379.75861641796
"r_phy[Myodes_glareolus,Intercept]",1.00011788090534,5677.73407953891,6542.80505246764
"r_phy[Crocidura_russula,Intercept]",1.00004361160185,6006.53804375303,6569.76082845579
"r_phy[Canis_lupus,Intercept]",1.00004951735343,6059.03909937877,7230.18725515921
"r_phy[Carettochelys_insculpta,Intercept]",1.00051689699129,9315.31056582878,9639.84249499694
"r_phy[Apalone_ferox,Intercept]",1.00036705372571,9699.71011135055,10098.5110997982
"r_phy[Apalone_mutica,Intercept]",1.00041765457186,9591.10453955645,9875.95754321964
"r_phy[Dermochelys_coriacea,Intercept]",1.00040685068777,10654.5348303632,10377.9402994052
"r_phy[Sternotherus_odoratus,Intercept]",1.00022576671667,10364.984750783,9893.13019612766
"r_phy[Kinosternon_subrubrum,Intercept]",1.00031672381202,10258.0445896414,10010.8579497962
"r_phy[Kinosternon_integrum,Intercept]",1.00029431990282,10374.6124903237,9888.73501242718
"r_phy[Kinosternon_hirtipes,Intercept]",1.00031134873467,10136.4827431803,9423.67272741419
"r_phy[Emydoidea_blandingii,Intercept]",1.00055042145071,9049.55010440027,9956.44018393741
"r_phy[Terrapene_ornata,Intercept]",1.0005904581791,8762.52028005864,9264.43748407236
"r_phy[Clemmys_insculpta,Intercept]",1.00066372567256,8655.84945521634,9300.07587207937
"r_phy[Chrysemys_picta,Intercept]",1.00042894899854,8954.29112377095,9137.34215326164
"r_phy[Pseudemys_floridana,Intercept]",1.00049320334916,8937.0827785057,9244.7845695935
"r_phy[Malaclemys_terrapin,Intercept]",1.00041518530466,9272.91627648768,10251.3930939889
"r_phy[Caiman_crocodilus,Intercept]",1.00070301369648,9729.58090799338,8838.65671849023
"r_phy[Alectoris_rufa,Intercept]",1.00042713532619,8875.07719685009,8862.37840343206
"r_phy[Cygnus_olor,Intercept]",1.00041987741029,9463.14733222995,9939.13304051917
"r_phy[Cygnus_buccinator,Intercept]",1.00038614696,9306.45261706892,10166.7369895401
"r_phy[Branta_bernicla,Intercept]",1.0002936112926,9688.49293538369,10985.4806202721
"r_phy[Branta_canadensis,Intercept]",1.00029153538087,9741.98464798337,10431.6734690558
"r_phy[Chen_canagica,Intercept]",1.00029545122529,9696.61621957324,9457.65278318461
"r_phy[Somateria_fischeri,Intercept]",1.000393103522,10029.7193496882,10433.583683983
"r_phy[Bucephala_clangula,Intercept]",1.00038853257212,10125.194754099,10064.6735820834
"r_phy[Anas_platyrhynchos,Intercept]",1.00044335832028,9765.61307623759,9549.01287799364
